UIC,API,wtd_ft,bhp_m3,date_meas
000125201,10933825,4064,0,2024-01-01
000125202,10933824,3793,1331.208232605652,2024-01-01
000125202,10933824,3793,1330.832079208863,2024-01-02
000125201,10933825,4064,0,2024-01-02
000125201,10933825,4064,0,2024-01-03
000125202,10933824,3793,1320.769241496501,2024-01-03
000125202,10933824,3793,1322.001005694849,2024-01-04
000125201,10933825,4064,0,2024-01-04
000125201,10933825,4064,0,2024-01-05
000125202,10933824,3793,1321.229371590403,2024-01-05
000125202,10933824,3793,1324.249239669871,2024-01-06
000125201,10933825,4064,0,2024-01-06
000125201,10933825,4064,0,2024-01-07
000125202,10933824,3793,1313.842167716476,2024-01-07
000125202,10933824,3793,1317.219963436606,2024-01-08
000125201,10933825,4064,0,2024-01-08
000125201,10933825,4064,0,2024-01-09
000125202,10933824,3793,1326.046001521307,2024-01-09
000125202,10933824,3793,1326.882998435533,2024-01-10
000125201,10933825,4064,0,2024-01-10
000125201,10933825,4064,0,2024-01-11
000125202,10933824,3793,1331.071617796802,2024-01-11
000125202,10933824,3793,1296.971559573765,2024-01-12
000125201,10933825,4064,0,2024-01-12
000125201,10933825,4064,0,2024-01-13
000125202,10933824,3793,1260.543047595428,2024-01-13
000125202,10933824,3793,1284.303582709965,2024-01-14
000125201,10933825,4064,0,2024-01-14
000125201,10933825,4064,0,2024-01-15
000125202,10933824,3793,1296.627928748812,2024-01-15
000125202,10933824,3793,1301.82125976006,2024-01-16
000125201,10933825,4064,0,2024-01-16
000125201,10933825,4064,0,2024-01-17
000125202,10933824,3793,1305.807902129715,2024-01-17
000125202,10933824,3793,1307.992407584005,2024-01-18
000125201,10933825,4064,0,2024-01-18
000125201,10933825,4064,0,2024-01-19
000125202,10933824,3793,1310.822560365351,2024-01-19
000125202,10933824,3793,1312.402449513196,2024-01-20
000125201,10933825,4064,0,2024-01-20
000125201,10933825,4064,0,2024-01-21
000125202,10933824,3793,1312.742413079789,2024-01-21
000125202,10933824,3793,1307.093718519148,2024-01-22
000125201,10933825,4064,0,2024-01-22
000125201,10933825,4064,0,2024-01-23
000125202,10933824,3793,1320.184200636126,2024-01-23
000125202,10933824,3793,1318.22527404894,2024-01-24
000125201,10933825,4064,0,2024-01-24
000125201,10933825,4064,0,2024-01-25
000125202,10933824,3793,1318.259423310391,2024-01-25
000125202,10933824,3793,1322.063241938598,2024-01-26
000125201,10933825,4064,0,2024-01-26
000125201,10933825,4064,0,2024-01-27
000125202,10933824,3793,1324.914725431003,2024-01-27
000125202,10933824,3793,1288.072733757683,2024-01-28
000125201,10933825,4064,0,2024-01-28
000125201,10933825,4064,0,2024-01-29
000125202,10933824,3793,1252.408824275873,2024-01-29
000125202,10933824,3793,1281.560666951751,2024-01-30
000125201,10933825,4064,0,2024-01-30
000125201,10933825,4064,0,2024-01-31
000125202,10933824,3793,1197.003068869068,2024-01-31
000125202,10933824,3793,1272.838393333787,2024-02-01
000125201,10933825,4064,0,2024-02-01
000125201,10933825,4064,0,2024-02-02
000125202,10933824,3793,1240.510377674252,2024-02-02
000125202,10933824,3793,1276.205552363025,2024-02-03
000125201,10933825,4064,0,2024-02-03
000125201,10933825,4064,0,2024-02-04
000125202,10933824,3793,1280.821685943786,2024-02-04
000125202,10933824,3793,1292.839746679526,2024-02-05
000125201,10933825,4064,0,2024-02-05
000125201,10933825,4064,0,2024-02-06
000125202,10933824,3793,1300.681767121777,2024-02-06
000125202,10933824,3793,1306.069646946955,2024-02-07
000125201,10933825,4064,0,2024-02-07
000125201,10933825,4064,0,2024-02-08
000125202,10933824,3793,1297.732377928129,2024-02-08
000125202,10933824,3793,1246.865490589216,2024-02-09
000125201,10933825,4064,0,2024-02-09
000125201,10933825,4064,0,2024-02-10
000125202,10933824,3793,1299.970746870493,2024-02-10
000125202,10933824,3793,1296.946291756654,2024-02-11
000125086,10933797,4614,,2024-02-11
000125201,10933825,4064,0,2024-02-11
000125201,10933825,4064,0,2024-02-12
000125202,10933824,3793,1231.696922625456,2024-02-12
000125202,10933824,3793,1318.024471646688,2024-02-13
000125201,10933825,4064,0,2024-02-13
000125201,10933825,4064,0,2024-02-14
000125202,10933824,3793,1325.014047500301,2024-02-14
000125202,10933824,3793,1329.811143017447,2024-02-15
000124948,10933771,4454,,2024-02-15
000125201,10933825,4064,0,2024-02-15
000125201,10933825,4064,0,2024-02-16
000125202,10933824,3793,1333.652408634764,2024-02-16
000125202,10933824,3793,1337.55781625535,2024-02-17
000125201,10933825,4064,0,2024-02-17
000125201,10933825,4064,0,2024-02-18
000125202,10933824,3793,1339.994524337913,2024-02-18
000125202,10933824,3793,1341.576721147381,2024-02-19
000125201,10933825,4064,0,2024-02-19
000125201,10933825,4064,0,2024-02-20
000125202,10933824,3793,1341.934257334832,2024-02-20
000125202,10933824,3793,1338.395285580392,2024-02-21
000125201,10933825,4064,0,2024-02-21
000125201,10933825,4064,0,2024-02-22
000125202,10933824,3793,1340.879642346306,2024-02-22
000125202,10933824,3793,1343.678712652931,2024-02-23
000125201,10933825,4064,0,2024-02-23
000125201,10933825,4064,0,2024-02-24
000125202,10933824,3793,1338.093472829428,2024-02-24
000125202,10933824,3793,1347.606262259854,2024-02-25
000125201,10933825,4064,0,2024-02-25
000125201,10933825,4064,0,2024-02-26
000125202,10933824,3793,1349.502706050605,2024-02-26
000125202,10933824,3793,1351.02518567861,2024-02-27
000125201,10933825,4064,0,2024-02-27
000125201,10933825,4064,0,2024-02-28
000125202,10933824,3793,1351.677455940487,2024-02-28
000125155,10933818,4682,,2024-02-28
000125202,10933824,3793,1311.240754582798,2024-02-29
000125201,10933825,4064,0,2024-02-29
000125201,10933825,4064,0,2024-03-01
000103282,13540893,14450,2625,2024-03-01
000125202,10933824,3793,1337.622770867775,2024-03-01
000125183,10933816,4508,,2024-03-01
000125202,10933824,3793,1346.167364624537,2024-03-02
000103282,13540893,14450,2625,2024-03-02
000125201,10933825,4064,0,2024-03-02
000125201,10933825,4064,0,2024-03-03
000103282,13540893,14450,2625,2024-03-03
000125202,10933824,3793,1348.447326749531,2024-03-03
000125182,10933820,4350,,2024-03-03
000125202,10933824,3793,1339.799480908279,2024-03-04
000103282,13540893,14450,2625,2024-03-04
000125201,10933825,4064,0,2024-03-04
000125201,10933825,4064,0,2024-03-05
000103282,13540893,14450,2625,2024-03-05
000125202,10933824,3793,1347.592982098866,2024-03-05
000125181,10933819,4668,,2024-03-05
000125202,10933824,3793,1322.569281375604,2024-03-06
000103282,13540893,14450,2625,2024-03-06
000125201,10933825,4064,0,2024-03-06
000125201,10933825,4064,0,2024-03-07
000103282,13540893,14450,2625,2024-03-07
000125202,10933824,3793,1254.03763850515,2024-03-07
000125202,10933824,3793,1336.719207169999,2024-03-08
000103282,13540893,14450,2625,2024-03-08
000125201,10933825,4064,0,2024-03-08
000125201,10933825,4064,0,2024-03-09
000103282,13540893,14450,2625,2024-03-09
000125202,10933824,3793,1320.163238739476,2024-03-09
000125202,10933824,3793,1340.278584648061,2024-03-10
000103282,13540893,14450,2625,2024-03-10
000125201,10933825,4064,0,2024-03-10
000125201,10933825,4064,0,2024-03-11
000103282,13540893,14450,2625,2024-03-11
000125202,10933824,3793,1345.324709499803,2024-03-11
000125202,10933824,3793,1334.126079026971,2024-03-12
000103282,13540893,14450,2625,2024-03-12
000125201,10933825,4064,0,2024-03-12
000125201,10933825,4064,0,2024-03-13
000103282,13540893,14450,2625,2024-03-13
000125202,10933824,3793,1332.030314706839,2024-03-13
000125202,10933824,3793,1349.667158872275,2024-03-14
000103282,13540893,14450,2625,2024-03-14
000125201,10933825,4064,0,2024-03-14
000125201,10933825,4064,0,2024-03-15
000103282,13540893,14450,2625,2024-03-15
000125202,10933824,3793,1352.927957747674,2024-03-15
000125202,10933824,3793,1335.160170264912,2024-03-16
000103282,13540893,14450,3056,2024-03-16
000125201,10933825,4064,0,2024-03-16
000125201,10933825,4064,0,2024-03-17
000103282,13540893,14450,3025,2024-03-17
000125202,10933824,3793,1340.022142562513,2024-03-17
000125202,10933824,3793,1348.416744122755,2024-03-18
000103282,13540893,14450,3035,2024-03-18
000125201,10933825,4064,0,2024-03-18
000125201,10933825,4064,0,2024-03-19
000103282,13540893,14450,3040,2024-03-19
000125202,10933824,3793,1353.049609162209,2024-03-19
000125202,10933824,3793,1356.25480296735,2024-03-20
000103282,13540893,14450,3035,2024-03-20
000125201,10933825,4064,0,2024-03-20
000125201,10933825,4064,0,2024-03-21
000103282,13540893,14450,3040,2024-03-21
000125202,10933824,3793,1348.856663398393,2024-03-21
000125202,10933824,3793,1273.438453030003,2024-03-22
000103282,13540893,14450,2625,2024-03-22
000125201,10933825,4064,0,2024-03-22
000125201,10933825,4064,0,2024-03-23
000103282,13540893,14450,2625,2024-03-23
000125202,10933824,3793,1341.100478463819,2024-03-23
000125202,10933824,3793,1344.670446818855,2024-03-24
000103282,13540893,14450,3025,2024-03-24
000125201,10933825,4064,0,2024-03-24
000125201,10933825,4064,0,2024-03-25
000103282,13540893,14450,2625,2024-03-25
000125202,10933824,3793,1344.918526257593,2024-03-25
000125202,10933824,3793,1342.117968771536,2024-03-26
000103282,13540893,14450,3035,2024-03-26
000125201,10933825,4064,0,2024-03-26
000125201,10933825,4064,0,2024-03-27
000103282,13540893,14450,3045,2024-03-27
000125202,10933824,3793,1321.847343738207,2024-03-27
000125202,10933824,3793,1348.744605199882,2024-03-28
000103282,13540893,14450,3030,2024-03-28
000125201,10933825,4064,0,2024-03-28
000125201,10933825,4064,0,2024-03-29
000103282,13540893,14450,2605,2024-03-29
000125202,10933824,3793,1353.543259645302,2024-03-29
000125202,10933824,3793,1355.148926531908,2024-03-30
000103282,13540893,14450,2605,2024-03-30
000125201,10933825,4064,0,2024-03-30
000125201,10933825,4064,0,2024-03-31
000103282,13540893,14450,2605,2024-03-31
000125202,10933824,3793,1338.53203251049,2024-03-31
000125202,10933824,3793,1328.628131716735,2024-04-01
000103282,13540893,14450,2580,2024-04-01
000125201,10933825,4064,0,2024-04-01
000125966,38940368,5731,0,2024-04-01
000125967,38940369,5784,0,2024-04-01
000125967,38940369,5784,0,2024-04-02
000125966,38940368,5731,0,2024-04-02
000125201,10933825,4064,0,2024-04-02
000103282,13540893,14450,2580,2024-04-02
000125202,10933824,3793,1344.237911066023,2024-04-02
000125202,10933824,3793,1341.850593733706,2024-04-03
000103282,13540893,14450,2500,2024-04-03
000125201,10933825,4064,0,2024-04-03
000125966,38940368,5731,0,2024-04-03
000125967,38940369,5784,0,2024-04-03
000125967,38940369,5784,0,2024-04-04
000125966,38940368,5731,0,2024-04-04
000125201,10933825,4064,0,2024-04-04
000103282,13540893,14450,2510,2024-04-04
000125202,10933824,3793,1347.691163863449,2024-04-04
000125202,10933824,3793,1331.001691938857,2024-04-05
000103282,13540893,14450,2525,2024-04-05
000125201,10933825,4064,0,2024-04-05
000125966,38940368,5731,0,2024-04-05
000125967,38940369,5784,1440.26915394751,2024-04-05
000125967,38940369,5784,1725.861009808987,2024-04-06
000125966,38940368,5731,0,2024-04-06
000125201,10933825,4064,0,2024-04-06
000103282,13540893,14450,2600,2024-04-06
000125202,10933824,3793,1323.928182975629,2024-04-06
000125202,10933824,3793,1320.71960797795,2024-04-07
000103282,13540893,14450,2700,2024-04-07
000125201,10933825,4064,0,2024-04-07
000125966,38940368,5731,0,2024-04-07
000125967,38940369,5784,1717.369105423357,2024-04-07
000125967,38940369,5784,1723.076594147058,2024-04-08
000125966,38940368,5731,0,2024-04-08
000125201,10933825,4064,0,2024-04-08
000103282,13540893,14450,3025,2024-04-08
000125202,10933824,3793,1322.092951722301,2024-04-08
000125202,10933824,3793,1324.952154043249,2024-04-09
000103282,13540893,14450,3025,2024-04-09
000125201,10933825,4064,0,2024-04-09
000125966,38940368,5731,0,2024-04-09
000125967,38940369,5784,1738.39117267361,2024-04-09
000125967,38940369,5784,1739.044579999995,2024-04-10
000125966,38940368,5731,0,2024-04-10
000125201,10933825,4064,0,2024-04-10
000103282,13540893,14450,3025,2024-04-10
000125202,10933824,3793,1325.225342478052,2024-04-10
000125202,10933824,3793,1329.43650872637,2024-04-11
000103282,13540893,14450,3025,2024-04-11
000125201,10933825,4064,0,2024-04-11
000125966,38940368,5731,0,2024-04-11
000125967,38940369,5784,1739.346362944441,2024-04-11
000125967,38940369,5784,1740.630654638889,2024-04-12
000125966,38940368,5731,0,2024-04-12
000125201,10933825,4064,0,2024-04-12
000103282,13540893,14450,3025,2024-04-12
000125202,10933824,3793,1330.184268085852,2024-04-12
000125202,10933824,3793,1329.920120436188,2024-04-13
000103282,13540893,14450,3050,2024-04-13
000125201,10933825,4064,0,2024-04-13
000125966,38940368,5731,0,2024-04-13
000125967,38940369,5784,1741.147754111111,2024-04-13
000125967,38940369,5784,1741.716928451388,2024-04-14
000125966,38940368,5731,0,2024-04-14
000125201,10933825,4064,0,2024-04-14
000103282,13540893,14450,3050,2024-04-14
000125202,10933824,3793,1335.742987794541,2024-04-14
000125202,10933824,3793,1342.399464822659,2024-04-15
000103282,13540893,14450,3055,2024-04-15
000125201,10933825,4064,0,2024-04-15
000125966,38940368,5731,0,2024-04-15
000125967,38940369,5784,1741.953544180556,2024-04-15
000125967,38940369,5784,1741.824991902777,2024-04-16
000125966,38940368,5731,0,2024-04-16
000125201,10933825,4064,0,2024-04-16
000103282,13540893,14450,3055,2024-04-16
000125202,10933824,3793,1336.523791817292,2024-04-16
