network,station,longitude,latitude,affiliation,archive,location,place,elevation,enddate,startdate,label
US,KVTX,-97.8929,27.5459,United States National Seismic Network,TXHUB,,Kingsville,14.6,,2006-06-15,Other
US,JCT,-99.8022,30.4794,United States National Seismic Network,TXHUB,,Junction,591,,2000-02-02,Other
US,NATX,-94.661,31.7598,United States National Seismic Network,TXHUB,,Nacogdoches,168,,2004-05-11,Other
US,MNTX,-105.3821,31.6985,United States National Seismic Network,TXHUB,,Cornudas Mountains,404.8,,2003-05-28,Other
US,MIAR,-93.5765,34.5454,United States National Seismic Network,TXHUB,,Mount Ida,207,,1992-09-22,Other
US,WMOK,-98.7807,34.7379,United States National Seismic Network,TXHUB,,Wichita Mountains,486,,1992-11-11,Other
US,AMTX,-101.6808,34.8837,United States National Seismic Network,TXHUB,,Amarillo,1010,,2002-09-28,Other
US,CBKS,-99.7374,38.814,United States National Seismic Network,TXHUB,,Cedar Bluff,677,,1994-09-11,Other
MX,CCIG,-92.136917,16.281885,Mexican National Seismic Network,TXHUB,,Comitan,1625,,1999-12-31,Other
MX,TLIG,-98.566467,17.562675,Mexican National Seismic Network,TXHUB,,Tlapa,1136,,2008-12-31,Other
MX,ZAIG,-102.567001,22.769199,Mexican National Seismic Network,TXHUB,,Zacatecas,2408,,1996-12-31,Other
MX,CGIG,-107.977352,30.365044,SSN,TXHUB,,CASAS GRANDES,1524,,2006-12-06,Other
MX,HPIG,-105.664017,26.936794,SSN,TXHUB,,HIDALGO DEL PARRAL,1786,,2006-12-19,Other
MX,MCIG,-101.483627,27.977093,SSN,TXHUB,,MUZQUIZ,483,,2015-02-08,Other
MX,MYIG,-89.639614,20.948069,SSN,TXHUB,,MERIDA,13,,2010-04-11,Other
MX,LVIG,-96.4185,19.72622,SSN,TXHUB,,LAGUNA VERDE,57,,1996-04-09,Other
MX,BCIG,-105.412656,27.544763,SSN,TXHUB,,LA BOQUILLA,1265,,2013-11-10,Other
MX,LNIG,-99.465617,24.898167,SSN,TXHUB,,LINARES,329,,2006-01-18,Other
MX,MNIG,-100.29,26.61,SSN,TXHUB,,Monterrey,674,,2015-12-31,Other
MX,NZIG,-109.554158,30.373054,SSN,TXHUB,,NACOZARI,1546,,2010-11-05,Other
MX,SCIG,-91.186588,18.967037,SSN,TXHUB,,SABANCUY,18,,2001-09-30,Other
PI,WP04,-106.9193,34.0733,PASSCAL Pier Test Data,TXHUB,,PASSCAL_WEST_PIER_08,1430,2016-12-31,2016-01-11,Decomissioned
PI,WP03,-106.9193,34.0733,PASSCAL Pier Test Data,TXHUB,,PASSCAL_WEST_PIER_06,1430,2016-12-31,2016-01-11,Decomissioned
PI,SP00,-106.919,34.074,PASSCAL Pier Test Data,TXHUB,,Socorro,1430,,2006-03-26,Other
SC,Y22A,-106.965202,33.937,New Mexico Tech Seismic Network (),,,Socorro,1674,,2010-02-03,Other
SC,CL2B,-103.878601,32.264168,New Mexico Tech Seismic Network (),,,Gnome Location,2121,,1998-12-31,Other
SC,CPRX,-103.867302,33.0308,New Mexico Tech Seismic Network (),,,Cap Rock,1361,,1998-12-31,Other
SC,DAG,-104.691704,32.591,New Mexico Tech Seismic Network (),,,Dagger Draw,1280,,1998-12-31,Other
SC,GDL2,-104.363701,32.200802,New Mexico Tech Seismic Network (),,,Guadalupe Mountains,1211,,1998-12-31,Other
SC,HTMS,-103.634163,32.4725,New Mexico Tech Seismic Network (),,,Hat Mesa,1192,,1998-12-31,Other
SC,CBET,-103.999001,32.420502,New Mexico Tech Seismic Network (),,,Carlsbad East Tower,1042,,1998-12-31,Other
SC,CL7,-103.8084,32.413,New Mexico Tech Seismic Network (),,,WIPP Site,1034,,1998-12-31,Other
SC,SRH,-104.515381,32.491749,New Mexico Tech Seismic Network (),,,Seven River Hills,1266,,2004-05-11,Other
SC,SSS,-103.396835,32.354599,New Mexico Tech Seismic Network (),,,San Simon Sink,1073,,1998-12-31,Other
SC,JAL,-103.22932,32.20241,New Mexico Tech Seismic Network (),,,Jal,1020,,2019-12-19,Other
SC,PDB,-103.59662,32.0722,New Mexico Tech Seismic Network (),,,Paduca Breaks,1025,,2019-12-19,Other
SC,121A,-107.785103,32.532398,New Mexico Tech Seismic Network (),,,Cookes Peak,1652,,2019-03-05,Other
SC,LEM,-106.974167,34.165501,New Mexico Tech Seismic Network (),,,Lemita,1698,,1998-12-31,Other
SC,SBY,-107.180664,33.975166,New Mexico Tech Seismic Network (),,,South Baldy,3230,,1998-12-31,Other
SC,SMC,-107.019302,33.778667,New Mexico Tech Seismic Network (),,,San Marcial,1560,,1998-12-31,Other
IU,HKT,-95.838402,29.9618,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Hockley,-413,,2011-09-26,Other
IU,ANMO,-106.457199,34.945911,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Albuquerque,1820,,2008-06-30,Other
IU,TEIG,-88.276299,20.226299,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Tepich,40,,2014-10-29,Other
EP,KIDD,-106.506376,31.771774,UTEP Seismic Network,TXHUB,,KIDD Seismic Observatory,1162.5,,2009-10-07,Other
TX,FW11,-97.12787,32.72273,,,,"Arlington, TX",197.5,,2016-10-19,TexNet portable
TX,FW04,-96.92325,32.84763,,,,"Dallas, TX",144.8,,2016-09-27,TexNet portable
TX,FW09,-96.913922,32.92282,,,,"Farmers Branch, TX",133.3,,2016-09-28,TexNet portable
TX,FW02,-97.34255,32.95019,,,,"Haslet, TX",226.5,,2016-09-21,TexNet portable
TX,FW03,-98.065202,33.039624,Unavailable,TXHUB,,"Mineral Wells, TX",321,2021-06-16,2016-10-17,Decomissioned
TX,FW05,-96.747081,32.988669,,,,"Dallas, TX",207.3,,2016-11-15,TexNet portable
TX,FW06,-97.55693,32.972559,,,,"Azle, TX",233,,2016-10-18,TexNet portable
TX,FW07,-97.786092,32.702466,,,,"Dallas, TX",310.9,,2016-10-17,TexNet portable
TX,FW12,-97.148597,32.499076,,,,"Alvarado, TX",203.9,,2016-09-20,TexNet portable
TX,FW01,-96.87833,32.684047,,,,"Dallas, TX",203.4,,2016-10-18,TexNet portable
TX,FW13,-97.43112,32.35172,,,,"Cleburne, TX",259,,2016-11-14,TexNet portable
TX,FW14,-97.1923,32.3991,,,,"Alvarado, TX",219,,2016-11-14,TexNet portable
TX,FW16,-96.89716,32.48187,Unavailable,TXHUB,,"Waxahatchie, TX",193,2021-10-08,2016-11-15,Decomissioned
TX,WTFS,-98.46455,33.76622,Unavailable,TXHUB,,"Witchita Falls, TX",277,,2016-12-14,TexNet permanent
TX,DKNS,-100.92365,33.66653,Unavailable,TXHUB,,"Dickens, TX",843,,2016-12-16,TexNet permanent
TX,APMT,-100.12155,33.32512,Unavailable,TXHUB,,"Aspermont,TX",501,,2016-12-16,TexNet permanent
TX,POST,-101.50105,33.0662,Unavailable,TXHUB,,"Post, TX",788.6,,2016-12-20,TexNet permanent
TX,ODSA,-102.54913,32.12009,Unavailable,TXHUB,,"Odessa, TX",943,,2016-12-21,TexNet permanent
TX,SAND,-102.12331,29.95471,Unavailable,TXHUB,,"Sanderson, TX",688.8,,2017-02-06,TexNet permanent
TX,PECS,-103.86697,31.37045,Unavailable,TXHUB,,"Toyah, TX",914,,2017-01-31,TexNet permanent
TX,VHRN,-104.985193,30.786736,Unavailable,TXHUB,,"Van Horn, TX",1253,,2017-01-31,TexNet permanent
TX,SGCY,-101.12639,31.91436,Unavailable,TXHUB,,"Sterling City, TX",776,,2017-02-07,TexNet permanent
TX,OZNA,-101.12708,30.92195,Unavailable,TXHUB,,"Ozona, TX",770.8392,,2017-02-07,TexNet permanent
TX,HNDO,-99.28081,29.5288,Unavailable,TXHUB,,"Hondo, TX",381,,2017-02-15,TexNet permanent
TX,BRDY,-98.999447,31.285872,Unavailable,TXHUB,,"Brady, TX",460,,2017-02-15,TexNet permanent
TX,HBVL,-98.669634,27.064992,Unavailable,TXHUB,,"Hebbronville, TX",155,,2017-02-14,TexNet permanent
TX,DRIO,-100.61888,29.42311,,,,"Bracketville, TX",354,,2017-03-16,TexNet permanent
TX,PB08,-102.90736,30.89174,Unavailable,TXHUB,,"Fort Stockton, TX",926,,2017-05-24,TexNet portable
TX,PB01,-103.78112,30.94367,Unavailable,TXHUB,,"Toyahvale, TX",1010,,2017-09-12,TexNet portable
TX,SN07,-100.89172,33.09092,,,,"Snyder, TX",620,,2016-09-27,TexNet portable
TX,CRHG,-94.22517,32.28884,Unavailable,TXHUB,,"Carthage,TX",95,,2016-09-27,TexNet permanent
TX,PB07,-103.66793,31.57935,University of Texas,TexNet,,"Pecos, TX",856,,2017-10-10,TexNet portable
TX,PB03,-103.51395,31.08384,Unavailable,TXHUB,,"Varhalen, TX",871,,2017-11-12,TexNet portable
TX,PB05,-103.3247,30.91978,Unavailable,TXHUB,,"Pecos County, TX",957,,2016-11-04,TexNet portable
TX,EF04,-97.78986,29.21003,Unavailable,TXHUB,,"Nixon, TX",116,,2017-12-19,TexNet portable
TX,EF00,-98.38039,29.12809,Unavailable,TXHUB,,"Floresville, TX",173,2019-09-08,2018-02-01,Decomissioned
TX,PB11,-104.03412,31.93553,Unavailable,TXHUB,,"NW of Orla, TX",915,,2018-05-02,TexNet portable
TX,EF03,-97.98036,28.94704,Unavailable,TXHUB,,"Hobson, TX",96,,2018-06-08,TexNet portable
TX,SN04,-100.86952,32.89878,Unavailable,TXHUB,,"Snyder, TX",716,,2017-03-08,TexNet portable
TX,SN05,-100.88431,32.87838,Unavailable,TXHUB,,"Snydet, TX",724,2019-07-31,2017-03-08,Decomissioned
TX,SN06,-100.93311,32.87767,Unavailable,TXHUB,,"Snyder, TX",769,2018-11-29,2017-03-08,Decomissioned
TX,SN03,-100.94118,32.92429,Unavailable,TXHUB,,"Snyder, TX",744,,2017-03-08,TexNet portable
TX,SN02,-100.91106,32.86452,Unavailable,TXHUB,,"Snyder, TX",748,,2017-03-08,TexNet portable
TX,SN01,-100.88986,32.86147,Unavailable,TXHUB,,"Snyder, TX",717,2019-09-30,2017-03-08,Decomissioned
TX,PB06,-103.21825,31.6472,Unavailable,TXHUB,,"Pyote, TX",831,,2017-10-10,TexNet portable
TX,FW15,-97.3695,32.7044,,,,"Fort Worth, TX",192,,2017-04-11,TexNet portable
TX,PB10,-103.754585,31.283607,Unavailable,TXHUB,,"Toyah, TX",858,,2018-10-16,TexNet portable
TX,PH01,-101.703465,35.57899,Unavailable,TXHUB,,"Fritch, TX",870,2019-02-10,2018-10-24,Decomissioned
TX,PH03,-101.551399,35.3574,Unavailable,TXHUB,,"Panhandle, TX",1055,,2018-10-25,TexNet portable
TX,PH04,-101.912941,35.23603,Unavailable,TXHUB,,"Amarillo, TX",1062,2019-02-10,2018-10-25,Decomissioned
TX,PH02,-101.946743,35.39086,Unavailable,TXHUB,,"Potter County, TX",1094,,2018-10-24,TexNet portable
TX,EF05,-97.517897,28.989876,Unavailable,TXHUB,,"Yorktown, TX",88,,2018-11-06,TexNet portable
TX,PB12,-103.9577,31.2133,,,,"Toyah, TX",1011.9,,2018-11-12,TexNet portable
TX,MB02,-102.037907,31.19806,,,,"Rankin, TX",767.7,,2018-11-15,TexNet portable
TX,PB02,-103.510162,31.408951,Unavailable,TXHUB,,"Pecos, TX",792,2020-07-30,2017-01-26,Decomissioned
TX,MB04,-102.48802,32.62542,,,,"Seminole,TX",956,,2018-11-16,TexNet portable
TX,SN08,-101.060724,32.782579,Unavailable,TXHUB,,"Arah, TX",758,,2018-11-29,TexNet portable
TX,237B,-95.808403,32.001499,Texas Seismological Network,TXHUB,,Washetta,116,,2018-12-19,TexNet permanent
TX,ET01,-94.36497,31.46512,,,,"Chireno,TX",97,,2019-01-08,TexNet portable
TX,833A,-99.939,28.3236,University of Texas,TXHUB,,"Cotulla, TX",171,,2019-01-24,TexNet permanent
TX,EF02,-98.5311,28.7755,,,,"Christine, TX",97.6,,2019-01-24,TexNet portable
TX,EF01,-98.38039,29.12809,Unavailable,TXHUB,,"Floresville, TX",173,2018-06-20,2017-07-18,Decomissioned
TX,FW08,-97.11214,32.48811,Unavailable,TXHUB,,"Lillian, TX",184,2018-11-04,2018-05-24,Decomissioned
TX,435B,-97.585,30.7827,Texas Seismological Network,TXHUB,,Jarrell,248,,2018-11-30,TexNet permanent
TX,PB16,-103.252,31.12496,Unavailable,TXHUB,,"Coyanosa, TX",848,,2019-02-12,TexNet portable
TX,PB04,-103.2694,31.18697,Unavailable,TXHUB,,"Verhalen, TX",812,,2019-02-11,TexNet portable
TX,MB06,-101.7999756,31.9779827,,,,"Greenwod, TX",801,,2019-02-27,TexNet portable
TX,MB05,-101.8597158,32.6265397,,,,"Klondike, TX",882,,2019-02-28,TexNet portable
TX,MB01,-102.0829098,31.6677338,,,,"Midkiff, TX",859,,2019-02-28,TexNet portable
TX,SN10,-100.72388,33.04918,Unavailable,TXHUB,,"Rotan, TX",658,,2019-03-20,TexNet portable
TX,PCOS,-103.510147,31.408922,Guralp Systems,TXHUB,,Crockett Middle School Pecos,788.2,,2019-03-31,TexNet permanent
TX,PB09,-104.301444,31.774145,Unavailable,TXHUB,,"Orla, TX",1139,,2019-05-21,TexNet portable
TX,PB13,-103.8458,31.5542,,,,"Northwest of Pecos, TX",956.1,,2019-04-24,TexNet portable
TX,PB14,-103.1511,31.12932,Texas Seismological Network,TXHUB,,Fort Stockton,807,,2019-06-26,TexNet portable
TX,PB18,-103.1996,31.20084,Texas Seismological Network,TXHUB,,Coyanosa,825,,2019-06-27,TexNet portable
TX,PB15,-103.08439,31.2114,Texas Seismological Network,TXHUB,,Coyonosa,743,2020-09-01,2019-06-27,Decomissioned
TX,PB27,-103.1307,31.57632,,,,"North of Pyote, TX",812.3,2020-04-13,2019-07-23,Decomissioned
TX,MB07,-102.25277,32.00061,Unavailable,,,"Midland,TX",880,,2019-07-25,TexNet portable
TX,FLRS,-98.38039,29.12809,Unavailable,TXHUB,,"Floresville, TX",173,,2019-09-08,TexNet permanent
TX,PB21,-103.06216,31.341918,Unavailable,TXHUB,,"Coyanosa, TX",753,,2019-09-11,TexNet portable
TX,SN09,-100.739412,32.672969,Unavailable,TXHUB,,"Hermleigh, TX",663,,2019-09-30,TexNet portable
TX,MNHN,-102.76141,31.34023,Unavailable,TXHUB,,"Monahans, TX",750,,2017-08-04,TexNet permanent
TX,MLDN,-97.068723,29.822212,Unavailable,TXHUB,,"Muldoon, TX",104,,2017-08-04,TexNet permanent
TX,SNAG,-94.17877,31.51818,Unavailable,TXHUB,,"San Augustine, TX",84,,2017-08-07,TexNet permanent
TX,PLPT,-98.31578,32.81276,Unavailable,TXHUB,,"Palo Pinto, TX",336,,2017-08-08,TexNet permanent
TX,SMWD,-100.24248,35.10455,Unavailable,TXHUB,,"Samnorwood, TX",704,,2017-08-09,TexNet permanent
TX,DRZT,-100.29688,36.44401,Unavailable,TXHUB,,"Perryton, TX",791,,2017-08-09,TexNet permanent
TX,RTBA,-102.73743,36.43795,Unavailable,TXHUB,,"Rita Blanca, TX",1284,,2017-08-10,TexNet permanent
TX,DG01,-103.271077,31.377576,University of Texas,TexNet,,"Pecos,TX",787,,2019-11-20,TexNet short period
TX,HNVL,-95.466664,30.75643,Unavailable,TXHUB,,Huntsville TX,87,2021-12-09,2017-04-06,Decomissioned
TX,ALPN,-103.63852,30.37448,Unavailable,TXHUB,,"Alpine, TX",1368,,2017-02-03,TexNet permanent
TX,PB17,-103.15182,30.99675,,,,Fort Stockton,734,,2020-02-20,TexNet portable
TX,PB30,-103.3227,31.2804,,,,"Pecos,TX",829,,2020-03-04,TexNet portable
TX,PB28,-104.50077,31.66864,Unavailable,TXHUB,,Culberson County,1204,,2020-03-05,TexNet portable
TX,PB29,-104.514453,31.75299,Unavailable,TXHUB,,Culberson County,1242,,2020-03-05,TexNet portable
TX,DG03,-103.48416,31.38856,University of Texas,TexNet,,"Pecos, TX",830,2023-11-30,2020-03-06,Decomissioned
TX,PB19,-103.099701,31.303087,,,,"West of Imperial, TX",782.4,,2019-05-23,TexNet portable
TX,PB31,-104.030536,31.73226,Unavailable,TXHUB,,"Orla, TX",907,,2020-05-20,TexNet portable
TX,TREL,-96.08933,32.73039,Unavailable,TXHUB,,"Terrell, TX",174,,2017-08-07,TexNet permanent
TX,DG02,-103.54313,31.40151,University of Texas,TexNet,,"Pecos, TX",804,,2020-05-22,TexNet short period
TX,DG04,-103.41261,31.28734,University of Texas,TexNet,,"Pecos, TX",795,,2020-06-02,TexNet short period
TX,DG05,-103.493279,31.17007,University of Texas,TexNet,,"Pecos, TX",837,,2020-06-02,TexNet short period
TX,DG06,-103.4845,31.4124,University of Texas,TexNet,,"Pecos, TX",785,,2020-06-03,TexNet short period
TX,DG07,-103.52788,31.452888,University of Texas,TexNet,,"Pecos, TX",794,,2020-06-03,TexNet short period
TX,DG08,-103.7242,31.19053,University of Texas,TexNet,,"Pecos, TX",895,,2020-06-04,TexNet short period
TX,DG09,-103.51277,31.37222,University of Texas,TexNet,,"Pecos, TX",795,,2020-06-04,TexNet short period
TX,PB32,-103.37278,31.10306,Texas Seismological Network,TXHUB,,"Pecos, TX",861,,2020-06-03,TexNet portable
TX,MB08,-102.328853,31.884448,University of Texas,TexNet,,"Odessa, TX",863,,2020-07-09,TexNet portable
TX,OG01,-102.305318,31.934943,,,,,892,,2020-07-08,TexNet short period
TX,OG02,-102.323853,31.954503,University of Texas,TexNet,,"Odessa, TX",909,,2020-07-09,TexNet short period
TX,PB22,-103.076924,31.211658,Texas Seismological Network,TXHUB,,coyonosa,808,,2020-09-03,TexNet portable
TX,OG04,-102.35986,31.92935,University of Texas,TexNet,,"Odessa, TX",805,,2020-11-17,TexNet short period
TX,PB16A,-103.252,31.12496,University of Texas,TXHUB,,"Coyonosa, TX",848,2019-04-10,2019-02-12,Decomissioned
TX,MB09,-101.82,32.3391,Texas Seismological Network,TexNet,,"Lenorah, TX",798.5,,2021-01-10,TexNet portable
TX,MB10,-101.792,32.2651,University of Texas,TXHUB,,Stanton,813,,2021-03-31,TexNet portable
TX,PB33,-104.054045,31.534929,Texas Seismological Network,TXHUB,,"Pecos, TX",1006,,2020-06-03,TexNet portable
TX,INDO,-100.298344,28.467247,University of Texas,TXHUB,,"El Indio, TX",721,,2021-05-20,TexNet permanent
TX,PB34,-104.037778,31.676667,Unavailable,TXHUB,,"Reeves, TX",969.3,,2021-07-05,TexNet portable
TX,ELG6,-100.3263558,28.4816558,University of Texas,TXHUB,,"SSW of El Indio, TX",229,,2021-06-30,TexNet short period
TX,MB11,-101.972645,32.146839,Texas Seismological Network,TXHUB,,Midland,812,,2021-10-04,TexNet portable
TX,MB12,-101.602778,32.368611,Unavailable,TXHUB,,,775.6,,2022-07-13,TexNet portable
TX,PB35,-104.43203,31.656187,Unavailable,TXHUB,,"Van Horn, TX",1224,,2022-07-26,TexNet portable
TX,PB37,-104.528416,31.71847,Unavailable,TXHUB,,"Van Horn, TX",1263,,2022-07-28,TexNet portable
TX,PB38,-104.426634,31.72972,Unavailable,TXHUB,,"Van Horn, TX",1240,,2022-07-28,TexNet portable
TX,PB40,-103.9339588,31.6419935,Unavailable,TXHUB,,,935,,2022-08-20,TexNet portable
TX,PB42,-103.640224,31.764578,,,,Loving,830,,2022-09-08,TexNet portable
TX,PB43,-103.864872,31.680019,Unavailable,TXHUB,,"Reeves County, TX",896,,2022-09-22,TexNet portable
TX,MB13,-101.633469,32.321431,Unavailable,TXHUB,,"Howard County, TX",774,,2022-09-29,TexNet portable
TX,PB20,-104.06179,31.6281,,,,"Culberson County ,TX",1022,,2022-07-10,TexNet portable
TX,PB23,-104.07276,31.66404,,,,"Culberson Count, Texas",1005,,2022-07-10,TexNet portable
TX,PB24,-104.01776,31.61979,,,,"Reeves County, Texas",997,,2022-07-11,TexNet portable
TX,PB25,-104.07019,31.58308,,,,"Culberson County, Texas",1037,,2022-07-11,TexNet portable
TX,PB26,-104.12579,31.57819,,,,"Culberson County, Texas",1065,,2022-07-10,TexNet portable
TX,PB36,-104.425899,31.680262,Unavailable,TXHUB,,"Van Horn, TX",1218,,2022-07-26,TexNet portable
TX,MB14,-101.618194,32.209722,,,,Whistling Duck SWD,999,,2022-11-16,TexNet portable
TX,MB15,-102.1659308,32.3938394,Unavailable,TXHUB,,"Lenorah, TX",999,,2022-11-16,TexNet portable
TX,MB16,-102.236844,32.337047,Unavailable,TXHUB,,"Midland, TX",904,,2023-01-15,TexNet portable
TX,MB17,-102.04114,32.031106,,,,"Midland,  TX",852,,2023-02-16,TexNet portable
TX,MB18,-102.171812,32.082143,Unavailable,TXHUB,,"Midland, TX",871,,2023-02-16,TexNet portable
TX,PB44,-103.986965,31.92377,,,,"Angeles, TX",894,,2023-03-08,TexNet portable
TX,YK01,-103.008071,33.110552,,,,"Denver City, TX",1150,,2023-03-13,TexNet permanent
TX,MB03,-100.615009,31.741898,,,,,734,,2023-04-19,TexNet portable
TX,MB19,-101.71205,32.396522,,,,"Midland, TX",786,,2023-05-03,TexNet portable
TX,PB51,-103.381836,31.940163,Unavailable,TXHUB,,"Mentone,TX",978,,2023-05-17,TexNet portable
TX,MB22,-101.721534,32.518495,Unavailable,TXHUB,,"Ackerly, TX",857,,2022-07-11,TexNet portable
TX,MB21,-101.727966,32.343507,,,,"SW of Knott, TX",999,,2023-07-11,TexNet portable
TX,MB23,-101.800869,32.386609,,,,"Knott, TX",791,,2023-08-09,TexNet portable
TX,MB25,-102.4867,32.02737,,,,"Odessa, TX",921,,2023-11-01,TexNet portable
TX,PB46,-103.475133,31.706947,,,,"Loving, County",878,,2023-11-08,TexNet portable
TX,PB47,-103.3351,31.741433,,,,"Loving, County",861,,2023-11-08,TexNet portable
ZP,SC04,-97.473422,34.36356,,,,,300,2017-12-31,2016-11-11,Decomissioned
ZP,SC08,-96.393077,34.687273,,,,,200,2017-12-31,2016-12-12,Decomissioned
ZP,SC09,-97.365705,34.545088,,,,,291,2017-12-31,2017-04-06,Decomissioned
ZP,SC12,-99.3547,34.921667,,,,,472,2017-12-31,2017-04-13,Decomissioned
ZP,SC13,-96.945632,34.727653,,,,,363,2017-12-31,2017-05-10,Decomissioned
ZP,SC14,-98.243927,34.452052,,,,,339,2017-12-31,2017-05-10,Decomissioned
ZP,SC15,-99.50059,35.606645,,,,,550,2017-12-31,2017-05-11,Decomissioned
MG,JRQG,-100.446976,20.703686,Seismic Network of the NorthEastern Mexico,TXHUB,,Juriquilla,1965,,2003-08-28,Other
G,UNM,-99.178062,19.329662,GEOSCOPE,TXHUB,,Unam - Mexico,2280,,1990-06-05,Other
AE,319A,-109.280899,31.3757,Arizona Broadband Seismic Network,TXHUB,,Douglas,1187,,2011-11-30,Other
AM,R0F1A,-95.576,29.5978,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,27,,2016-10-31,Other
AM,R9B84,-95.6986,29.9144,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,46,,2016-10-31,Other
AM,R9EE9,-96.7944,32.8533,RaspShake Network,ZCS,,Raspberry Shake Personal Seismograph Station,178,,2016-10-31,Other
